BI,BV,AI,AV   prendi BI e BV
97.4793E-15,940.0000E-3,-17.2718E-15,000.0000E-3
97.7280E-15,950.0000E-3,-16.2460E-15,000.0000E-3
97.7361E-15,960.0000E-3,-16.7263E-15,000.0000E-3
106.0941E-15,970.0000E-3,-19.9468E-15,000.0000E-3
106.9257E-15,980.0000E-3,-23.4614E-15,000.0000E-3
105.8671E-15,990.0000E-3,-23.7396E-15,000.0000E-3
108.3653E-15,1.0000E+0,-24.3386E-15,000.0000E-3
107.9850E-15,1.0100E+0,-28.3406E-15,000.0000E-3
114.0733E-15,1.0200E+0,-30.3558E-15,000.0000E-3
115.0477E-15,1.0300E+0,-32.4492E-15,000.0000E-3
118.1394E-15,1.0400E+0,-32.6875E-15,000.0000E-3
120.6703E-15,1.0500E+0,-38.3269E-15,000.0000E-3
126.0434E-15,1.0600E+0,-42.5447E-15,000.0000E-3
123.4890E-15,1.0700E+0,-45.4163E-15,000.0000E-3
132.8274E-15,1.0800E+0,-47.3331E-15,000.0000E-3
136.8105E-15,1.0900E+0,-52.1807E-15,000.0000E-3
139.1514E-15,1.1000E+0,-56.4071E-15,000.0000E-3
147.0031E-15,1.1100E+0,-60.4104E-15,000.0000E-3
147.9661E-15,1.1200E+0,-65.5885E-15,000.0000E-3
155.8349E-15,1.1300E+0,-71.1359E-15,000.0000E-3
162.0573E-15,1.1400E+0,-75.3861E-15,000.0000E-3
164.3195E-15,1.1500E+0,-82.5827E-15,000.0000E-3
169.3976E-15,1.1600E+0,-90.9909E-15,000.0000E-3
181.1338E-15,1.1700E+0,-96.0137E-15,000.0000E-3
186.4238E-15,1.1800E+0,-102.6115E-15,000.0000E-3
196.8131E-15,1.1900E+0,-111.8504E-15,000.0000E-3
203.6897E-15,1.2000E+0,-122.3304E-15,000.0000E-3
212.9106E-15,1.2100E+0,-130.7490E-15,000.0000E-3
223.3774E-15,1.2200E+0,-139.8383E-15,000.0000E-3
234.1364E-15,1.2300E+0,-150.9456E-15,000.0000E-3
242.3552E-15,1.2400E+0,-164.3236E-15,000.0000E-3
258.4139E-15,1.2500E+0,-175.7971E-15,000.0000E-3
272.8617E-15,1.2600E+0,-189.2496E-15,000.0000E-3
285.2494E-15,1.2700E+0,-203.2220E-15,000.0000E-3
302.3135E-15,1.2800E+0,-218.3585E-15,000.0000E-3
319.0301E-15,1.2900E+0,-234.0205E-15,000.0000E-3
335.6841E-15,1.3000E+0,-252.3343E-15,000.0000E-3
353.2573E-15,1.3100E+0,-270.0162E-15,000.0000E-3
373.7243E-15,1.3200E+0,-289.4995E-15,000.0000E-3
394.3737E-15,1.3300E+0,-309.4746E-15,000.0000E-3
420.8647E-15,1.3400E+0,-333.4184E-15,000.0000E-3
443.6254E-15,1.3500E+0,-356.6167E-15,000.0000E-3
466.6284E-15,1.3600E+0,-381.9696E-15,000.0000E-3
493.6999E-15,1.3700E+0,-408.5450E-15,000.0000E-3
524.1247E-15,1.3800E+0,-437.5435E-15,000.0000E-3
553.9656E-15,1.3900E+0,-466.2860E-15,000.0000E-3
588.5066E-15,1.4000E+0,-499.2561E-15,000.0000E-3
619.9795E-15,1.4100E+0,-536.0667E-15,000.0000E-3
654.1790E-15,1.4200E+0,-571.8131E-15,000.0000E-3
695.7151E-15,1.4300E+0,-608.2928E-15,000.0000E-3
738.9082E-15,1.4400E+0,-650.8340E-15,000.0000E-3
780.4597E-15,1.4500E+0,-693.6839E-15,000.0000E-3
825.0897E-15,1.4600E+0,-741.2731E-15,000.0000E-3
873.2809E-15,1.4700E+0,-791.7732E-15,000.0000E-3
924.9462E-15,1.4800E+0,-843.7269E-15,000.0000E-3
985.3065E-15,1.4900E+0,-897.5719E-15,000.0000E-3
1.0412E-12,1.5000E+0,-956.0748E-15,000.0000E-3
1.1043E-12,1.5100E+0,-1.0165E-12,000.0000E-3
1.1709E-12,1.5200E+0,-1.0833E-12,000.0000E-3
1.2370E-12,1.5300E+0,-1.1545E-12,000.0000E-3
1.3149E-12,1.5400E+0,-1.2264E-12,000.0000E-3
1.3919E-12,1.5500E+0,-1.3044E-12,000.0000E-3
1.4710E-12,1.5600E+0,-1.3874E-12,000.0000E-3
1.5580E-12,1.5700E+0,-1.4719E-12,000.0000E-3
1.6493E-12,1.5800E+0,-1.5643E-12,000.0000E-3
1.7477E-12,1.5900E+0,-1.6604E-12,000.0000E-3
1.8483E-12,1.6000E+0,-1.7637E-12,000.0000E-3
1.9611E-12,1.6100E+0,-1.8706E-12,000.0000E-3
